,design,predictor,sample_type,sample_size,train_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_auprc,mean_size_err,median_precision,median_recall,median_fscore,median_auprc,median_size_err
155,mips789,suspect2vec,solver,0.5,,1000000000000.0,20.0,,0.8871192720000001,0.798984967,0.826673825,0.884609691,0.273212769,0.939393939,0.794117647,0.848484848,0.921458895,0.149855908
156,mips789,suspect2vec,solver,0.5,,1000000000000.0,50.0,,0.8872559790000001,0.800340223,0.827083687,0.885002615,0.279726554,0.947368421,0.799342105,0.8469750890000001,0.923262654,0.141935484
157,sudoku_check,DATE,solver,0.5,,1000000000000.0,,,0.7758178190619933,0.8391398033213049,0.78836886686621,0.8843577986882992,0.28794188049523034,0.7777777777777778,0.9032258064516128,0.8,0.9653745883499972,0.26865671641791045
158,sudoku_check,random,solver,0.5,,1000000000000.0,,,0.5418480992460809,0.4790676653007889,0.4475891029733956,0.5766891120855141,0.7242770302998052,0.5681818181818182,0.5072463768115942,0.4047619047619048,0.5664118923748517,0.7133333333333334
159,sudoku_check,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.9322829283144204,0.8743450861292259,0.8932857740081377,0.898276203123974,0.1335507377782378,0.9827586206896552,0.9344262295081968,0.9482758620689656,0.9685599375851072,0.05797101449275361
160,vga,DATE,solver,0.5,,1000000000000.0,,,0.822275007,0.781208439,0.788017695,0.8078889159999999,0.222826172,0.880442177,0.758766352,0.788652204,0.8458865990000001,0.206090226
161,vga,random,solver,0.5,,1000000000000.0,,,0.5780853761622989,0.4826965262188744,0.4532200236493354,0.6172634810607399,0.9014702015076684,0.5138583638583638,0.5147058823529411,0.4636363636363636,0.5970524741750005,0.5689655172413793
162,vga,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.845564457,0.839979583,0.826787835,0.841807541,0.254555748,0.91302589,0.8644688640000001,0.8408268729999999,0.892536865,0.179984294
163,vga,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.1,0.871814888,0.708970322,0.7718377740000001,0.7462390440000001,0.240917929,0.944425386,0.687352025,0.7886086990000001,0.813504135,0.247948124
164,vga,suspect2vec,solver,0.5,,1000000000000.0,20.0,,0.845564457,0.839979583,0.826787835,0.841807541,0.254555748,0.91302589,0.8644688640000001,0.8408268729999999,0.892536865,0.179984294
165,vga,suspect2vec,solver,0.5,,1000000000000.0,50.0,,0.847721417,0.8400615990000001,0.8286847890000001,0.840594287,0.243791893,0.936258577,0.8644688640000001,0.840886076,0.890337094,0.179984294
166,wb_dma,DATE,solver,0.5,,1000000000000.0,,,0.822469508,0.734035075,0.7668266990000001,0.7456448,0.214455253,0.86746988,0.745454545,0.80660702,0.780666968,0.162162162
167,wb_dma,random,solver,0.5,,1000000000000.0,,,0.5421048134559724,0.4866992445377502,0.4279130679109773,0.6412518501239126,1.3954663332908182,0.5319148936170213,0.5276381909547738,0.4643962848297214,0.6214841977618638,0.6820512820512821
168,wb_dma,suspect2vec,solver,0.5,,1000000000000.0,20.0,0.0,0.780586846,0.83656545,0.780611189,0.7930961959999999,0.6962008140000001,0.857142857,0.822274882,0.813417191,0.78923386,0.093904448
169,wb_dma,suspect2vec,solver,0.5,,1000000000000.0,50.0,,0.783009615,0.813316991,0.773285936,0.778860195,0.657837798,0.8594059409999999,0.813253012,0.806907378,0.826256067,0.13527397300000002
170,ethernet,DATE,solver,0.6,,1000000000000.0,,,0.800353447,0.93240356,0.8478141990000001,0.923141769,0.290712478,0.845297858,0.972787856,0.902347332,0.984138873,0.159173127
171,ethernet,random,solver,0.6,,1000000000000.0,,,0.6015300546448087,0.5714425399250569,0.5005051444422527,0.6930940637005639,1.23744494775373,0.6229508196721312,0.6081081081081081,0.5384615384615384,0.6883527939392169,0.4760452961672474
172,ethernet,suspect2vec,solver,0.6,,1000000000000.0,20.0,0.0,0.940657605,0.956977714,0.940638628,0.946458324,0.268813598,0.986666667,1.0,0.983730159,0.999385703,0.02739726
173,fdct,DATE,solver,0.6,,1000000000000.0,,,0.8184089512546433,0.9068699842321968,0.8548085432095163,0.8807220559177632,0.1671623866045275,0.8484848484848485,0.913258487035552,0.8621757646147891,0.9160200650814828,0.12337935174069628
